Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
533,Scolytus ventralis,Nematode,Bursaphelenchus wilfordi,United States,associate?,,,,,,,,"Massey, 1964a",1964,only English abstract,"Massey, C.L., 1964a. The nematode parasites and associates of the fir engraver beetle, Scolytus ventralis Le Conte, in New Mexico. J. Insect Pathol. 6, 133–155."
534,Scolytus ventralis,Nematode,Plectus eurycerus,United States,associate?,,,,,,,,"Massey, 1964a",1964,only English abstract,"Massey, C.L., 1964a. The nematode parasites and associates of the fir engraver beetle, Scolytus ventralis Le Conte, in New Mexico. J. Insect Pathol. 6, 133–155."
535,Scolytus ventralis,Nematode,Plectus makrodemas,United States,associate?,,,,,,,,"Massey, 1964a",1964,only English abstract,"Massey, C.L., 1964a. The nematode parasites and associates of the fir engraver beetle, Scolytus ventralis Le Conte, in New Mexico. J. Insect Pathol. 6, 133–155."
536,Scolytus ventralis,Nematode,Panagromacra margaretae,United States,associate?,,,,,,,,"Massey, 1964a",1964,only English abstract,"Massey, C.L., 1964a. The nematode parasites and associates of the fir engraver beetle, Scolytus ventralis Le Conte, in New Mexico. J. Insect Pathol. 6, 133–155."
537,Dendroctonus rufipennis,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
538,Dendroctonus barberi,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
539,Ips integer,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
540,Ips calligraphus,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
541,Ips lecontei,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
542,Ips oregonis,Nematode,Ektaphelenchus riograndensis,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
543,Dryocoetes confusus,Nematode,Ektaphelenchus prolobos,United States,parasite,,,,,,,,"Massey, 1964b",1964,only English abstract,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
544,Dendroctonus adjunctus,Nematode,Parasitylenchus stipatus,United States,internal parasite,,,,,,,,"Massey, 1966a",1966,,"Massey, C. L. (1966). The nematode parasites and associates of Dendroctonus adjunctus (Coleoptera: Scolytidae) in New Mexico. Annals of the Entomological Society of America, 59(3), 424-440."
545,Dendroctonus adjunctus,Nematode,Parasitaphelenchus dendroctoni,United States,internal parasite,,,,,,,,"Massey, 1966a",1966,,"Massey, C. L. (1966). The nematode parasites and associates of Dendroctonus adjunctus (Coleoptera: Scolytidae) in New Mexico. Annals of the Entomological Society of America, 59(3), 424-440."
546,Dendroctonus pseudotsugae,Nematode,Neoditylenchus puniwopus,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
547,Dendroctonus rufipennis,Nematode,Neoditylenchus yasinskii,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
548,Scolytus multistriatus,Nematode,Sychnotylenchus scolyti,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
549,Phloeosinus sp.,Nematode,Sychnotylenchus phloeosini,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
550,Dendroctonus rufipennis,Nematode,Aglenchus exignus,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
551,Dendroctonus rufipennis,Nematode,Neotylenchus nitidus,United States,associate,,,,,,,,"Massey, 1969",1969,,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
552,Dendroctonus adjunctus,Nematode,Parasitylenchus stipatus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
553,Dendroctonus adjunctus,Nematode,Parasitaphelenchus dendroctoni,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
554,Dendroctonus brevicomis,Nematode,Contortylenchus brevicomi,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
555,Dendroctonus frontalis,Nematode,Contortylenchus brevicomi,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
556,Dendroctonus ponderosae,Nematode,Contortylenchus reversus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
557,Dendroctonus pseudotsugae,Nematode,Contortylenchus reversus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
558,Dendroctonus pseudotsugae,Nematode,Parasitylenchus beccus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
559,Dendroctonus rufipennis,Nematode,Sphaerularia dendroctoni,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
560,Dendroctonus rufipennis,Nematode,Contortylenchus reversus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
561,Dendroctonus terebrans,Nematode,Contortylenchus terebranus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
562,Dendroctonus valens,Nematode,Contortylenchus sp.,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
563,Ips avulsus,Nematode,Parasitylenchus avulsi,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
564,Ips calligraphus,Nematode,Contortylenchus grandicolli,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
565,Ips confusus,Nematode,Contortylenchus elongatus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
566,Ips cribricollis,Nematode,Contortylenchus cribicolli,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
567,Ips grandicollis,Nematode,Contortylenchus grandicolli,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
568,Ips pilifrons,Nematode,Contortylenchus spirus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
569,Ips pini,Nematode,Parasitylenchus ipinius,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
570,Ips pini,Nematode,Parasitylenchus ovarius,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
571,Ips pini,Nematode,Contortylenchus spirus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
572,Hylurgops pinifex,Nematode,Parasitylenchus coronatus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
573,Hylurgops pinifex,Nematode,Contortylenchus sp.,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
574,Hylesinus aculeatus,Nematode,Parasitylenchus lepersini,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
575,Orthotomicus caelatus,Nematode,Parasitylenchus oriundus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
576,Pityophthorus sp.,Nematode,Contortylenchus pityophthori,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
577,Pityophthorus sp.,Nematode,Parasitaphelenchus sp.,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
578,Pityophthorus sp.,Nematode,Parasitylenchus sp.,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
579,Polygraphus hoppingi,Nematode,Parasitylenchus parasitus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
580,Scolytus multistriatus,Nematode,Parasitaphelenchus sp.,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
581,Scolytus ventralis,Nematode,Parasitylenchus elongatus,United States,parasite,,,,,,,,"Massey, 1974",1974,full text,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
582,Ips typographus,Fungi,Beauveria bassiana,,,,,,,,,pathogenicity test,"Matha and Weiser, 1985",1985,non full-text ,"Matha V. & J. Weiser 1985. Effect of the fungus Beauveria bassiana on adult bark beetles Ips typographus. Conference Biological and Biotechnical Control of Forest Pests, Tabor (CSFR)."
583,Ips typographus,Protist,Chytridiopsis typographi,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
584,Ips typographus,Protist,Gregarina typographi,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
585,Ips typographus,Protist,Malamoeba scolyti,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
586,Ips typographus,Nematode,Neoparasitylenchus sp.,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
587,Ips typographus,Nematode,unidentified nematode species,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
588,Ips typographus,Fungi,Beauveria bassiana,Slovakia,pathogen,,,,,evaluation of pathogen from beetles,,,"Michalková et al., 2012",2012,full text,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
589,Ips typographus,Fungi,Beauveria bassiana,Serbia,pathogen,,,morphological and molecular,,isolated from infected beetle,,,"Milosavljević et al., 2021",2021,full text,"Milosavljević, M., Tabaković-Tošić, M., Radulović, Z., Marković, M., & Rindoš, M. (2021). Isolation, identification and phylogenetic position of entomopathogenic fungus Beauveria bassiana from Ips typographus in Serbia. Fresenius Environ. Bull, 30, 9443-9448."
590,Ips typographus,Fungi,Beauveria bassiana,Serbia,pathogen,laboratory,,,cuticular contact,isolated from infected beetle,,pathogenicity test,"Milosavljević et al., 2026",2026,full text,"Milosavljević, M., Tabaković-Tošić, M., Stajić, S., Mitrović, S., Radulović, Z., Poduška, Z., & Gavrilović, B. (2026). Biocontrol Potential of Indigenous Beauveria bassiana Strain Against Ips typographus from Tara National Park Under Varying Temperature Regimes. Šumarski list, 150(5-6), 219-227."
591,Hypothenemus hampei,Fungi,Beauveria bassiana,Nicaragua,associate; occurrence survey,,,morphological,,isolated from infected beetle,,,"Monzón et al., 2007",2007,full text,"Monzón, A., Klingen, I., Guharay, F., & Papierok, B. (2007). Naturally occurring Beauveria bassiana in Hypothenemus hampei populations in unsprayed coffee fields. IOBC WPRS BULLETIN, 30(1), 131."
592,Dendroctonus frontalis,Bacteria,Serratia marcescens,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
593,Dendroctonus frontalis,Bacteria,Pseudomonas aeruginosa,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
594,Dendroctonus frontalis,Bacteria,Bacillus thuringiensis var. thuringiensis,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
595,Dendroctonus frontalis,Bacteria,Flavobacterium sp.,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
596,Dendroctonus frontalis,Bacteria,Bacillus cereus,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
597,Dendroctonus frontalis,Bacteria,Pseudomonas fluorescens,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
598,Dendroctonus frontalis,Fungi,Fusarium solani,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
599,Dendroctonus frontalis,Fungi,Beauveria bassiana,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
600,Dendroctonus frontalis,Fungi,Aspergillus flavus,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
601,Dendroctonus frontalis,Fungi,Cephalosporium sp.,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
602,Dendroctonus frontalis,Fungi,Metarhizium anisopliae,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
603,Dendroctonus frontalis,Fungi,Paecilomyces sp.,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
604,Dendroctonus frontalis,Fungi,Scopulariopsis sp.,United States,pathogen,,,,,evaluation of pathogen from beetles,,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
605,Dendroctonus frontalis,Bacteria,Aerobacter aerogenes,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
606,Dendroctonus frontalis,Bacteria,Alcaligenes faecalis,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
607,Dendroctonus frontalis,Bacteria,Serratia marcescens,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
608,Dendroctonus frontalis,Bacteria,Bacillus cereus,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
609,Dendroctonus frontalis,Fungi,Beauveria baasiana ,United States,pathogen,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
610,Dendroctonus frontalis,Fungi,Aspergillus favus,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
611,Dendroctonus frontalis,Fungi,Fusarium solani,United States,,,,,,isolated from beetle,,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
612,Dendroctonus frontalis,Fungi,Beauveria bassiana,,,laboratory,,,,,,pathogenicity test,"Moore, 1970",1970,full text,"Moore, G. E. (1970). Isolating entomogenous fungi and bacteria, and tests of fungal isolates against the southern pine beetle."
613,Dendroctonus frontalis,Fungi,Aspergillus flavus,,,laboratory,,,,,,pathogenicity test,"Moore, 1970",1970,full text,"Moore, G. E. (1970). Isolating entomogenous fungi and bacteria, and tests of fungal isolates against the southern pine beetle."
614,Dendroctonus frontalis,Fungi,Fusarium solani,,,laboratory,,,,,,pathogenicity test,"Moore, 1970",1970,full text,"Moore, G. E. (1970). Isolating entomogenous fungi and bacteria, and tests of fungal isolates against the southern pine beetle."
615,Dendroctonus frontalis,Bacteria,Bacillus cereus,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
616,Dendroctonus frontalis,Bacteria,Bacillus thuringiensis var. thuringiensis,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
617,Dendroctonus frontalis,Bacteria,Bacillus thuringiensis var. kenyae,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
618,Dendroctonus frontalis,Bacteria,Pseudomonas aeruginosa,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
619,Dendroctonus frontalis,Bacteria,Pseudomonas fluorescens,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
620,Dendroctonus frontalis,Bacteria,Serratia marcescens,United States,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
621,Dendroctonus frontalis,Fungi,Beauveria bassiana,,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1973",1973,full text,"Moore, G. E. (1973). Pathogenicity of three entomogenous fungi to the southern pine beetle at various temperatures and humidities. Environmental Entomology, 2(1), 54-57."
622,Dendroctonus frontalis,Fungi,Aspergillus flavus,,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1973",1973,full text,"Moore, G. E. (1973). Pathogenicity of three entomogenous fungi to the southern pine beetle at various temperatures and humidities. Environmental Entomology, 2(1), 54-57."
623,Dendroctonus frontalis,Fungi,Fusarium solani,,,laboratory,,,,isolated from infected beetle,,pathogenicity test,"Moore, 1973",1973,full text,"Moore, G. E. (1973). Pathogenicity of three entomogenous fungi to the southern pine beetle at various temperatures and humidities. Environmental Entomology, 2(1), 54-57."
624,Ips typographus,Fungi,Beauveria bassiana,Slovakia,,laboratory,,morphological and molecular,,isolated from infected beetle,,pathogenicity test,"Mudrončeková et al., 2013",2013,full text,"Mudrončeková, S., Mazáň, M., & Nemčovič, M. (2013). Entomopathogenic fungus species Beauveria bassiana (Bals.) and Metarhizium anisopliae (Metsch.) used as mycoinsecticide effective in biological control of Ips typographus (L.). Journal of Microbiology, Biotechnology and Food Sciences, 2(6), 2469-2472."
625,Ips typographus,Fungi,Metarhizium anisopliae,Slovakia,,laboratory,,morphological and molecular,,isolated from soil,,pathogenicity test,"Mudrončeková et al., 2013",2013,full text,"Mudrončeková, S., Mazáň, M., & Nemčovič, M. (2013). Entomopathogenic fungus species Beauveria bassiana (Bals.) and Metarhizium anisopliae (Metsch.) used as mycoinsecticide effective in biological control of Ips typographus (L.). Journal of Microbiology, Biotechnology and Food Sciences, 2(6), 2469-2472."
626,Ips typographus,Fungi,Aspergilus flavus,Slovakia,,laboratory,,morphological and molecular,,isolated from infected beetle,,pathogenicity test,"Mudrončeková et al., 2013",2013,full text,"Mudrončeková, S., Mazáň, M., & Nemčovič, M. (2013). Entomopathogenic fungus species Beauveria bassiana (Bals.) and Metarhizium anisopliae (Metsch.) used as mycoinsecticide effective in biological control of Ips typographus (L.). Journal of Microbiology, Biotechnology and Food Sciences, 2(6), 2469-2472."
