Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
61,Hylastes opacus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
62,Dryocoetes autographus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
63,Leperesinus fraxini,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
64,Ips amitinus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
65,Scolytus intricatus,Fungi,Lecanicillium lecanii,Poland,pathogen,laboratory,,,cuticular contact,field-collected,,pathogenicity test,"Balazy, 1973",1973,only English abstract,"Bałazy, S., 1973. A review of entomopathogenic species of the genus Cephalosporium Corda (Mycota, Hyphomycetales). Bulletin de la societe des Amis des Sciences et des Lettres de Poznan, Ser. D 14, 101–137."
66,Scolytus kirschii,Fungi,Lecanicillium lecanii,Poland,pathogen,laboratory,,,cuticular contact,field-collected,,pathogenicity test,"Balazy, 1973",1973,only English abstract,"Bałazy, S., 1973. A review of entomopathogenic species of the genus Cephalosporium Corda (Mycota, Hyphomycetales). Bulletin de la societe des Amis des Sciences et des Lettres de Poznan, Ser. D 14, 101–137."
67,Hylesinus crenatus,Fungi,Lecanicillium lecanii,Poland,pathogen,laboratory,,,cuticular contact,field-collected,,pathogenicity test,"Balazy, 1973",1973,only English abstract,"Bałazy, S., 1973. A review of entomopathogenic species of the genus Cephalosporium Corda (Mycota, Hyphomycetales). Bulletin de la societe des Amis des Sciences et des Lettres de Poznan, Ser. D 14, 101–137."
68,Ips typographus,Fungi,Lecanicillium lecanii,Poland,pathogen,laboratory,,,cuticular contact,field-collected,,pathogenicity test,"Balazy, 1973",1973,only English abstract,"Bałazy, S., 1973. A review of entomopathogenic species of the genus Cephalosporium Corda (Mycota, Hyphomycetales). Bulletin de la societe des Amis des Sciences et des Lettres de Poznan, Ser. D 14, 101–137."
69,Scolytus scolytus,Fungi,Lecanicillium lecanii,,pathogen,laboratory,,,cuticular contact,field-collected,,pathogenicity test,"Barson, 1976",1976,full text,"Barson, G., 1976. Laboratory studies on the fungus Verticillium lecanii, a larval pathogen of the large elm bark beetle (Scolytus scolytus). Ann. Appl. Biol. 83, 207–214."
70,Ips typographus,Fungi,Beauveria caledonica,Slovakia,pathogen,laboratory,,,cuticular contact,field-collected,,virulence test,"Barta et al., 2018",2018,full text,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
